Measure,Domain,Decile,Ethnicity,Ethnicity_type,Geography,Geography_type,Geography_code,Value,Value_type,Numerator,Denominator
Percentage of people living in these neighbourhoods,Crime Deprivation,70% to 80%,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5274197,53012456
Percentage of people living in these neighbourhoods,Crime Deprivation,80% to 90%,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5271387,53012456
Percentage of people living in these neighbourhoods,Crime Deprivation,10% least deprived,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5231503,53012456
Percentage of people living in these neighbourhoods,Housing Deprivation,10% most deprived,All,ONS 2011 5+1,England,Country,E92000001,10.6,%,5612204,53012456
Percentage of people living in these neighbourhoods,Housing Deprivation,10% to 20%,All,ONS 2011 5+1,England,Country,E92000001,10.4,%,5503663,53012456
Percentage of people living in these neighbourhoods,Housing Deprivation,20% to 30%,All,ONS 2011 5+1,England,Country,E92000001,10.3,%,5483158,53012456
Percentage of people living in these neighbourhoods,Housing Deprivation,30% to 40%,All,ONS 2011 5+1,England,Country,E92000001,10.2,%,5382383,53012456
Percentage of people living in these neighbourhoods,Housing Deprivation,40% to 50%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5281621,53012456
Percentage of people living in these neighbourhoods,Housing Deprivation,50% to 60%,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5243150,53012456
Percentage of people living in these neighbourhoods,Housing Deprivation,60% to 70%,All,ONS 2011 5+1,England,Country,E92000001,9.8,%,5212896,53012456
Percentage of people living in these neighbourhoods,Housing Deprivation,70% to 80%,All,ONS 2011 5+1,England,Country,E92000001,9.7,%,5166473,53012456
Percentage of people living in these neighbourhoods,Housing Deprivation,80% to 90%,All,ONS 2011 5+1,England,Country,E92000001,9.7,%,5118338,53012456
Percentage of people living in these neighbourhoods,Housing Deprivation,10% least deprived,All,ONS 2011 5+1,England,Country,E92000001,9.4,%,5008570,53012456
Percentage of people living in these neighbourhoods,Environment Deprivation,10% most deprived,All,ONS 2011 5+1,England,Country,E92000001,10.3,%,5466487,53012456
Percentage of people living in these neighbourhoods,Environment Deprivation,10% to 20%,All,ONS 2011 5+1,England,Country,E92000001,10.4,%,5503263,53012456
Percentage of people living in these neighbourhoods,Environment Deprivation,20% to 30%,All,ONS 2011 5+1,England,Country,E92000001,10.2,%,5421837,53012456
Percentage of people living in these neighbourhoods,Environment Deprivation,30% to 40%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5362272,53012456
Percentage of people living in these neighbourhoods,Environment Deprivation,40% to 50%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5306846,53012456
Percentage of people living in these neighbourhoods,Environment Deprivation,50% to 60%,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5234425,53012456
Percentage of people living in these neighbourhoods,Environment Deprivation,60% to 70%,All,ONS 2011 5+1,England,Country,E92000001,9.8,%,5204257,53012456
Percentage of people living in these neighbourhoods,Environment Deprivation,70% to 80%,All,ONS 2011 5+1,England,Country,E92000001,9.7,%,5144852,53012456
Percentage of people living in these neighbourhoods,Environment Deprivation,80% to 90%,All,ONS 2011 5+1,England,Country,E92000001,9.7,%,5156003,53012456
Percentage of people living in these neighbourhoods,Environment Deprivation,10% least deprived,All,ONS 2011 5+1,England,Country,E92000001,9.8,%,5212214,53012456
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% most deprived,Any other,ONS 2011 18+1,England,Country,E92000001,11.9,%,39023,327433
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% to 20%,Any other,ONS 2011 18+1,England,Country,E92000001,16.2,%,53039,327433
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,20% to 30%,Any other,ONS 2011 18+1,England,Country,E92000001,16,%,52492,327433
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,30% to 40%,Any other,ONS 2011 18+1,England,Country,E92000001,12.9,%,42120,327433
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,40% to 50%,Any other,ONS 2011 18+1,England,Country,E92000001,9.9,%,32296,327433
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,50% to 60%,Any other,ONS 2011 18+1,England,Country,E92000001,9.2,%,29981,327433
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,60% to 70%,Any other,ONS 2011 18+1,England,Country,E92000001,7,%,23037,327433
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,70% to 80%,Any other,ONS 2011 18+1,England,Country,E92000001,6.6,%,21585,327433
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,80% to 90%,Any other,ONS 2011 18+1,England,Country,E92000001,5.8,%,19004,327433
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% least deprived,Any other,ONS 2011 18+1,England,Country,E92000001,4.5,%,14856,327433
Percentage of people living in these neighbourhoods,Income Deprivation,10% most deprived,Any other,ONS 2011 18+1,England,Country,E92000001,14.7,%,48274,327433
Percentage of people living in these neighbourhoods,Income Deprivation,10% to 20%,Any other,ONS 2011 18+1,England,Country,E92000001,15.7,%,51502,327433
Percentage of people living in these neighbourhoods,Income Deprivation,20% to 30%,Any other,ONS 2011 18+1,England,Country,E92000001,14.6,%,47924,327433
Percentage of people living in these neighbourhoods,Income Deprivation,30% to 40%,Any other,ONS 2011 18+1,England,Country,E92000001,12.7,%,41637,327433
Percentage of people living in these neighbourhoods,Income Deprivation,40% to 50%,Any other,ONS 2011 18+1,England,Country,E92000001,11,%,36109,327433
Percentage of people living in these neighbourhoods,Income Deprivation,50% to 60%,Any other,ONS 2011 18+1,England,Country,E92000001,8.2,%,26987,327433
Percentage of people living in these neighbourhoods,Income Deprivation,60% to 70%,Any other,ONS 2011 18+1,England,Country,E92000001,6.4,%,21112,327433
Percentage of people living in these neighbourhoods,Income Deprivation,70% to 80%,Any other,ONS 2011 18+1,England,Country,E92000001,5.5,%,17995,327433
Percentage of people living in these neighbourhoods,Income Deprivation,80% to 90%,Any other,ONS 2011 18+1,England,Country,E92000001,4.9,%,16120,327433
Percentage of people living in these neighbourhoods,Income Deprivation,10% least deprived,Any other,ONS 2011 18+1,England,Country,E92000001,6,%,19773,327433
Percentage of people living in these neighbourhoods,Employment Deprivation,10% most deprived,Any other,ONS 2011 18+1,England,Country,E92000001,9.6,%,31463,327433
Percentage of people living in these neighbourhoods,Employment Deprivation,10% to 20%,Any other,ONS 2011 18+1,England,Country,E92000001,13.2,%,43321,327433
Percentage of people living in these neighbourhoods,Employment Deprivation,20% to 30%,Any other,ONS 2011 18+1,England,Country,E92000001,13.2,%,43104,327433
Percentage of people living in these neighbourhoods,Employment Deprivation,30% to 40%,Any other,ONS 2011 18+1,England,Country,E92000001,12.3,%,40359,327433
Percentage of people living in these neighbourhoods,Employment Deprivation,40% to 50%,Any other,ONS 2011 18+1,England,Country,E92000001,11.4,%,37349,327433
Percentage of people living in these neighbourhoods,Employment Deprivation,50% to 60%,Any other,ONS 2011 18+1,England,Country,E92000001,9.9,%,32540,327433
Percentage of people living in these neighbourhoods,Employment Deprivation,60% to 70%,Any other,ONS 2011 18+1,England,Country,E92000001,8.7,%,28325,327433
Percentage of people living in these neighbourhoods,Employment Deprivation,70% to 80%,Any other,ONS 2011 18+1,England,Country,E92000001,6.9,%,22619,327433
Percentage of people living in these neighbourhoods,Employment Deprivation,80% to 90%,Any other,ONS 2011 18+1,England,Country,E92000001,6.6,%,21597,327433
Percentage of people living in these neighbourhoods,Employment Deprivation,10% least deprived,Any other,ONS 2011 18+1,England,Country,E92000001,8.2,%,26756,327433
Percentage of people living in these neighbourhoods,Education Deprivation,10% most deprived,Any other,ONS 2011 18+1,England,Country,E92000001,7.9,%,26002,327433
Percentage of people living in these neighbourhoods,Education Deprivation,10% to 20%,Any other,ONS 2011 18+1,England,Country,E92000001,9.3,%,30313,327433
Percentage of people living in these neighbourhoods,Education Deprivation,20% to 30%,Any other,ONS 2011 18+1,England,Country,E92000001,10.2,%,33399,327433
Percentage of people living in these neighbourhoods,Education Deprivation,30% to 40%,Any other,ONS 2011 18+1,England,Country,E92000001,10.9,%,35723,327433
Percentage of people living in these neighbourhoods,Education Deprivation,40% to 50%,Any other,ONS 2011 18+1,England,Country,E92000001,11,%,35886,327433
Percentage of people living in these neighbourhoods,Education Deprivation,50% to 60%,Any other,ONS 2011 18+1,England,Country,E92000001,11,%,35886,327433
Percentage of people living in these neighbourhoods,Education Deprivation,60% to 70%,Any other,ONS 2011 18+1,England,Country,E92000001,10.5,%,34316,327433
Percentage of people living in these neighbourhoods,Education Deprivation,70% to 80%,Any other,ONS 2011 18+1,England,Country,E92000001,9.4,%,30789,327433
Percentage of people living in these neighbourhoods,Education Deprivation,80% to 90%,Any other,ONS 2011 18+1,England,Country,E92000001,9.5,%,31142,327433
Percentage of people living in these neighbourhoods,Education Deprivation,10% least deprived,Any other,ONS 2011 18+1,England,Country,E92000001,10.4,%,33977,327433
Percentage of people living in these neighbourhoods,Health Deprivation,10% most deprived,Any other,ONS 2011 18+1,England,Country,E92000001,8.2,%,26833,327433
Percentage of people living in these neighbourhoods,Health Deprivation,10% to 20%,Any other,ONS 2011 18+1,England,Country,E92000001,9.4,%,30938,327433
Percentage of people living in these neighbourhoods,Health Deprivation,20% to 30%,Any other,ONS 2011 18+1,England,Country,E92000001,10.7,%,34950,327433
Percentage of people living in these neighbourhoods,Health Deprivation,30% to 40%,Any other,ONS 2011 18+1,England,Country,E92000001,11.2,%,36607,327433
Percentage of people living in these neighbourhoods,Health Deprivation,40% to 50%,Any other,ONS 2011 18+1,England,Country,E92000001,11.3,%,36883,327433
Percentage of people living in these neighbourhoods,Health Deprivation,50% to 60%,Any other,ONS 2011 18+1,England,Country,E92000001,11.3,%,36861,327433
Percentage of people living in these neighbourhoods,Health Deprivation,60% to 70%,Any other,ONS 2011 18+1,England,Country,E92000001,10,%,32718,327433
Percentage of people living in these neighbourhoods,Health Deprivation,70% to 80%,Any other,ONS 2011 18+1,England,Country,E92000001,9.8,%,31943,327433
Percentage of people living in these neighbourhoods,Health Deprivation,80% to 90%,Any other,ONS 2011 18+1,England,Country,E92000001,8.2,%,26791,327433
Percentage of people living in these neighbourhoods,Health Deprivation,10% least deprived,Any other,ONS 2011 18+1,England,Country,E92000001,10.1,%,32909,327433
Percentage of people living in these neighbourhoods,Crime Deprivation,10% most deprived,Any other,ONS 2011 18+1,England,Country,E92000001,14.4,%,47225,327433
Percentage of people living in these neighbourhoods,Crime Deprivation,10% to 20%,Any other,ONS 2011 18+1,England,Country,E92000001,14.8,%,48382,327433
Percentage of people living in these neighbourhoods,Crime Deprivation,20% to 30%,Any other,ONS 2011 18+1,England,Country,E92000001,15,%,48987,327433
Percentage of people living in these neighbourhoods,Crime Deprivation,30% to 40%,Any other,ONS 2011 18+1,England,Country,E92000001,14,%,45784,327433
Percentage of people living in these neighbourhoods,Crime Deprivation,40% to 50%,Any other,ONS 2011 18+1,England,Country,E92000001,12,%,39182,327433
Percentage of people living in these neighbourhoods,Crime Deprivation,50% to 60%,Any other,ONS 2011 18+1,England,Country,E92000001,9.3,%,30596,327433
Percentage of people living in these neighbourhoods,Crime Deprivation,60% to 70%,Any other,ONS 2011 18+1,England,Country,E92000001,7.9,%,25740,327433
Percentage of people living in these neighbourhoods,Crime Deprivation,70% to 80%,Any other,ONS 2011 18+1,England,Country,E92000001,5.9,%,19179,327433
Percentage of people living in these neighbourhoods,Crime Deprivation,80% to 90%,Any other,ONS 2011 18+1,England,Country,E92000001,4,%,13117,327433
Percentage of people living in these neighbourhoods,Crime Deprivation,10% least deprived,Any other,ONS 2011 18+1,England,Country,E92000001,2.8,%,9241,327433
Percentage of people living in these neighbourhoods,Housing Deprivation,10% most deprived,Any other,ONS 2011 18+1,England,Country,E92000001,24.4,%,79919,327433
Percentage of people living in these neighbourhoods,Housing Deprivation,10% to 20%,Any other,ONS 2011 18+1,England,Country,E92000001,17.7,%,58056,327433
Percentage of people living in these neighbourhoods,Housing Deprivation,20% to 30%,Any other,ONS 2011 18+1,England,Country,E92000001,14.3,%,46756,327433
Percentage of people living in these neighbourhoods,Housing Deprivation,30% to 40%,Any other,ONS 2011 18+1,England,Country,E92000001,11.5,%,37559,327433
Percentage of people living in these neighbourhoods,Housing Deprivation,40% to 50%,Any other,ONS 2011 18+1,England,Country,E92000001,8.7,%,28612,327433
Percentage of people living in these neighbourhoods,Housing Deprivation,50% to 60%,Any other,ONS 2011 18+1,England,Country,E92000001,7,%,22821,327433
Percentage of people living in these neighbourhoods,Housing Deprivation,60% to 70%,Any other,ONS 2011 18+1,England,Country,E92000001,5.8,%,19031,327433
Percentage of people living in these neighbourhoods,Housing Deprivation,70% to 80%,Any other,ONS 2011 18+1,England,Country,E92000001,4.5,%,14663,327433
Percentage of people living in these neighbourhoods,Housing Deprivation,80% to 90%,Any other,ONS 2011 18+1,England,Country,E92000001,3.6,%,11761,327433
Percentage of people living in these neighbourhoods,Housing Deprivation,10% least deprived,Any other,ONS 2011 18+1,England,Country,E92000001,2.5,%,8255,327433
Percentage of people living in these neighbourhoods,Environment Deprivation,10% most deprived,Any other,ONS 2011 18+1,England,Country,E92000001,13.1,%,42803,327433
Percentage of people living in these neighbourhoods,Environment Deprivation,10% to 20%,Any other,ONS 2011 18+1,England,Country,E92000001,18.8,%,61404,327433
Percentage of people living in these neighbourhoods,Environment Deprivation,20% to 30%,Any other,ONS 2011 18+1,England,Country,E92000001,18.9,%,61977,327433
Percentage of people living in these neighbourhoods,Environment Deprivation,30% to 40%,Any other,ONS 2011 18+1,England,Country,E92000001,15.5,%,50763,327433
Percentage of people living in these neighbourhoods,Environment Deprivation,40% to 50%,Any other,ONS 2011 18+1,England,Country,E92000001,11,%,35891,327433
Percentage of people living in these neighbourhoods,Environment Deprivation,50% to 60%,Any other,ONS 2011 18+1,England,Country,E92000001,7.4,%,24338,327433
Percentage of people living in these neighbourhoods,Environment Deprivation,60% to 70%,Any other,ONS 2011 18+1,England,Country,E92000001,5.3,%,17298,327433
Percentage of people living in these neighbourhoods,Environment Deprivation,70% to 80%,Any other,ONS 2011 18+1,England,Country,E92000001,4,%,13161,327433
Percentage of people living in these neighbourhoods,Environment Deprivation,80% to 90%,Any other,ONS 2011 18+1,England,Country,E92000001,3.3,%,10865,327433
Percentage of people living in these neighbourhoods,Environment Deprivation,10% least deprived,Any other,ONS 2011 18+1,England,Country,E92000001,2.7,%,8933,327433
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% most deprived,Arab,ONS 2011 18+1,England,Country,E92000001,15.5,%,34271,220985
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% to 20%,Arab,ONS 2011 18+1,England,Country,E92000001,14.6,%,32214,220985
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,20% to 30%,Arab,ONS 2011 18+1,England,Country,E92000001,14.7,%,32547,220985
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,30% to 40%,Arab,ONS 2011 18+1,England,Country,E92000001,13,%,28630,220985
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,40% to 50%,Arab,ONS 2011 18+1,England,Country,E92000001,10,%,22142,220985
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,50% to 60%,Arab,ONS 2011 18+1,England,Country,E92000001,8.8,%,19393,220985
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,60% to 70%,Arab,ONS 2011 18+1,England,Country,E92000001,7.4,%,16276,220985
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,70% to 80%,Arab,ONS 2011 18+1,England,Country,E92000001,6.3,%,13825,220985
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,80% to 90%,Arab,ONS 2011 18+1,England,Country,E92000001,5.4,%,11871,220985
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% least deprived,Arab,ONS 2011 18+1,England,Country,E92000001,4.4,%,9816,220985
Percentage of people living in these neighbourhoods,Income Deprivation,10% most deprived,Arab,ONS 2011 18+1,England,Country,E92000001,18.3,%,40443,220985
Percentage of people living in these neighbourhoods,Income Deprivation,10% to 20%,Arab,ONS 2011 18+1,England,Country,E92000001,14.2,%,31314,220985
Percentage of people living in these neighbourhoods,Income Deprivation,20% to 30%,Arab,ONS 2011 18+1,England,Country,E92000001,12.8,%,28242,220985
Percentage of people living in these neighbourhoods,Income Deprivation,30% to 40%,Arab,ONS 2011 18+1,England,Country,E92000001,11.8,%,26154,220985
Percentage of people living in these neighbourhoods,Income Deprivation,40% to 50%,Arab,ONS 2011 18+1,England,Country,E92000001,10.4,%,22892,220985
Percentage of people living in these neighbourhoods,Income Deprivation,50% to 60%,Arab,ONS 2011 18+1,England,Country,E92000001,8,%,17692,220985
Percentage of people living in these neighbourhoods,Income Deprivation,60% to 70%,Arab,ONS 2011 18+1,England,Country,E92000001,6.4,%,14235,220985
Percentage of people living in these neighbourhoods,Income Deprivation,70% to 80%,Arab,ONS 2011 18+1,England,Country,E92000001,5.3,%,11798,220985
Percentage of people living in these neighbourhoods,Income Deprivation,80% to 90%,Arab,ONS 2011 18+1,England,Country,E92000001,4.8,%,10606,220985
Percentage of people living in these neighbourhoods,Income Deprivation,10% least deprived,Arab,ONS 2011 18+1,England,Country,E92000001,8,%,17609,220985
Percentage of people living in these neighbourhoods,Employment Deprivation,10% most deprived,Arab,ONS 2011 18+1,England,Country,E92000001,14.2,%,31409,220985
Percentage of people living in these neighbourhoods,Employment Deprivation,10% to 20%,Arab,ONS 2011 18+1,England,Country,E92000001,11.8,%,25976,220985
Percentage of people living in these neighbourhoods,Employment Deprivation,20% to 30%,Arab,ONS 2011 18+1,England,Country,E92000001,11.2,%,24845,220985
Percentage of people living in these neighbourhoods,Employment Deprivation,30% to 40%,Arab,ONS 2011 18+1,England,Country,E92000001,11.4,%,25195,220985
Percentage of people living in these neighbourhoods,Employment Deprivation,40% to 50%,Arab,ONS 2011 18+1,England,Country,E92000001,9.5,%,21007,220985
Percentage of people living in these neighbourhoods,Employment Deprivation,50% to 60%,Arab,ONS 2011 18+1,England,Country,E92000001,9,%,19882,220985
Percentage of people living in these neighbourhoods,Employment Deprivation,60% to 70%,Arab,ONS 2011 18+1,England,Country,E92000001,8.3,%,18369,220985
Percentage of people living in these neighbourhoods,Employment Deprivation,70% to 80%,Arab,ONS 2011 18+1,England,Country,E92000001,7.1,%,15744,220985
Percentage of people living in these neighbourhoods,Employment Deprivation,80% to 90%,Arab,ONS 2011 18+1,England,Country,E92000001,6.4,%,14080,220985
Percentage of people living in these neighbourhoods,Employment Deprivation,10% least deprived,Arab,ONS 2011 18+1,England,Country,E92000001,11.1,%,24478,220985
Percentage of people living in these neighbourhoods,Education Deprivation,10% most deprived,Arab,ONS 2011 18+1,England,Country,E92000001,9.4,%,20742,220985
Percentage of people living in these neighbourhoods,Education Deprivation,10% to 20%,Arab,ONS 2011 18+1,England,Country,E92000001,9.2,%,20307,220985
Percentage of people living in these neighbourhoods,Education Deprivation,20% to 30%,Arab,ONS 2011 18+1,England,Country,E92000001,9,%,19960,220985
Percentage of people living in these neighbourhoods,Education Deprivation,30% to 40%,Arab,ONS 2011 18+1,England,Country,E92000001,9.4,%,20757,220985
Percentage of people living in these neighbourhoods,Education Deprivation,40% to 50%,Arab,ONS 2011 18+1,England,Country,E92000001,10.3,%,22710,220985
Percentage of people living in these neighbourhoods,Education Deprivation,50% to 60%,Arab,ONS 2011 18+1,England,Country,E92000001,11.2,%,24700,220985
Percentage of people living in these neighbourhoods,Education Deprivation,60% to 70%,Arab,ONS 2011 18+1,England,Country,E92000001,10.5,%,23162,220985
Percentage of people living in these neighbourhoods,Education Deprivation,70% to 80%,Arab,ONS 2011 18+1,England,Country,E92000001,10.1,%,22338,220985
